Date,Cases,Deaths,Recoveries,Tests Conducted PUI,Total Tests Conducted,Daily Case Increase,Daily Death,Daily Recovery,PUIs,PUMs,Admitted,Fatality Rate,Recovery Rate
"Jan 29, 2020",0,0,0,,,0,0,0,,,0,,
"Jan 30, 2020",1,0,0,,,1,0,0,,,1,0.00%,0.00%
"Jan 31, 2020",1,0,0,,,0,0,0,,,1,0.00%,0.00%
"Feb 1, 2020",1,0,0,,,0,0,0,,,1,0.00%,0.00%
"Feb 2, 2020",2,1,0,,,1,1,0,,,1,50.00%,0.00%
"Feb 3, 2020",2,1,0,,,0,0,0,,,1,50.00%,0.00%
"Feb 4, 2020",2,1,0,,,0,0,0,,,1,50.00%,0.00%
"Feb 5, 2020",3,1,0,,,1,0,0,,,2,33.33%,0.00%
"Feb 6, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 7, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 8, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 9, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 10, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 11, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 12, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 13, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 14, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 15, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 16, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 17, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 18, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 19, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 20, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 21, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 22, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 23, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 24, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 25, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 26, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 27, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 28, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Feb 29, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Mar 1, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Mar 2, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Mar 3, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Mar 4, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Mar 5, 2020",3,1,0,,,0,0,0,,,2,33.33%,0.00%
"Mar 6, 2020",5,1,0,,,2,0,0,,,4,20.00%,0.00%
"Mar 7, 2020",6,1,0,,,1,0,0,,,5,16.67%,0.00%
"Mar 8, 2020",10,1,0,,,4,0,0,,,9,10.00%,0.00%
"Mar 9, 2020",20,1,0,,,10,0,0,,,19,5.00%,0.00%
"Mar 10, 2020",33,1,0,,,13,0,0,,,32,3.03%,0.00%
"Mar 11, 2020",49,2,0,,,16,1,0,,,47,4.08%,0.00%
"Mar 12, 2020",52,5,0,,,3,3,0,,,47,9.62%,0.00%
"Mar 13, 2020",64,5,0,,,12,0,0,,,59,7.81%,0.00%
"Mar 14, 2020",111,6,1,,,47,1,1,,,104,5.41%,0.90%
"Mar 15, 2020",140,12,2,874,,29,6,1,,,126,8.57%,1.43%
"Mar 16, 2020",142,12,3,925,,2,0,1,,,127,8.45%,2.11%
"Mar 17, 2020",187,14,4,1030,,45,2,1,,,169,7.49%,2.14%
"Mar 18, 2020",202,17,7,1030,,15,3,3,,,178,8.42%,3.47%
"Mar 19, 2020",217,17,8,1172,,15,0,1,,,192,7.83%,3.69%
"Mar 20, 2020",230,18,8,1269,,13,1,0,,,204,7.83%,3.48%
"Mar 21, 2020",307,19,13,1399,,77,1,5,,,275,6.19%,4.23%
"Mar 22, 2020",380,25,17,1516,,73,6,4,,,338,6.58%,4.47%
"Mar 23, 2020",462,33,18,1622,,82,8,1,,,411,7.14%,3.90%
"Mar 24, 2020",552,35,20,1793,,90,2,2,,,497,6.34%,3.62%
"Mar 25, 2020",636,38,26,1961,,84,3,6,,,572,5.97%,4.09%
"Mar 26, 2020",707,45,28,2147,,71,7,2,,,634,6.36%,3.96%
"Mar 27, 2020",803,54,31,2287,,96,9,3,,,718,6.72%,3.86%
"Mar 28, 2020",1075,68,35,2686,,272,14,4,,,972,6.33%,3.26%
"Mar 29, 2020",1418,71,42,3113,,343,3,7,,,1305,5.01%,2.96%
"Mar 30, 2020",1546,78,42,3303,,128,7,0,,,1426,5.05%,2.72%
"Mar 31, 2020",2084,88,49,3938,,538,10,7,968,6321,1947,4.22%,2.35%
"Apr 1, 2020",2311,96,50,4344,,227,8,1,1101,6321,2165,4.15%,2.16%
"Apr 2, 2020",2633,107,51,4726,23995*,322,11,1,1154,6321,2475,4.06%,1.94%
"Apr 3, 2020",3018,136,52,5267,22958,385,29,1,1209,,2830,4.51%,1.72%
"Apr 4, 2020",3094,144,57,5530,26911,76,8,5,1323,,2893,4.65%,1.84%
"Apr 5, 2020",3246,152,64,5974,28141,152,8,7,1441,,3030,4.68%,1.97%
"Apr 6, 2020",3660,163,73,,29004,414,11,9,,,3424,4.45%,1.99%
"Apr 7, 2020",3764,177,84,,31022,104,14,11,,,3503,4.70%,2.23%
"Apr 8, 2020",3870,182,96,,33762,106,5,12,,,3592,4.70%,2.48%
"Apr 9, 2020",4076,203,124,,35972,206,21,28,,,3749,4.98%,3.04%
"Apr 10, 2020",4195,221,140,,37428,119,18,16,,,3834,5.27%,3.34%
"Apr 11, 2020",4428,247,157,,38640,233,26,17,,,4024,5.58%,3.55%
"Apr 12, 2020",4648,297,197,,40889,220,50,40,,,4154,6.39%,4.24%
"Apr 13, 2020",4932,315,242,,43500,284,18,45,,,4375,6.39%,4.91%
"Apr 14, 2020",5223,335,295,,45486,291,20,53,,,4593,6.41%,5.65%
"Apr 15, 2020",5453,349,353,,48171,230,14,58,,,4751,6.40%,6.47%
"Apr 16, 2020",5660,362,435,,52082,207,13,82,,,4863,6.40%,7.69%
"Apr 17, 2020",5878,387,487,,56048,218,25,52,,,5004,6.58%,8.29%
"Apr 18, 2020",6087,397,516,,59928,209,10,29,,,5174,6.52%,8.48%
"Apr 19, 2020",6259,409,572,,62475,172,12,56,,,5278,6.53%,9.14%
"Apr 20, 2020",6459,428,613,,65301,200,19,41,,,5418,6.63%,9.49%
"Apr 21, 2020",6599,437,654,,68532,140,9,41,,,5508,6.62%,9.91%
"Apr 22, 2020",6710,446,693,,72346,111,9,39,,,5571,6.65%,10.33%
"Apr 23, 2020",6981,462,722,,,271,16,29,,,5797,6.62%,10.34%
"Apr 24, 2020",7192,477,762,,,211,15,40,,,5953,6.63%,10.60%
"Apr 25, 2020",7294,494,792,,,102,17,30,,,6008,6.77%,10.86%
"Apr 26, 2020",7579,501,862,,,285,7,70,,,6216,6.61%,11.37%
"Apr 27, 2020",7777,511,932,,,198,10,70,,,6334,6.57%,11.98%
"Apr 28, 2020",7958,530,975,,,181,19,43,,,6453,6.66%,12.25%
"Apr 29, 2020",8212,558,1023,,,254,28,48,,,6631,6.79%,12.46%
"Apr 30, 2020",8488,568,1043,,,276,10,20,,,6877,6.69%,12.29%
"May 1, 2020",8772,579,1084,,,284,11,41,,,7109,6.60%,12.36%
"May 2, 2020",8928,603,1124,,,156,24,40,,,7201,6.75%,12.59%
"May 3, 2020",9223,607,1214,,,295,4,90,,,7402,6.58%,13.16%
"May 4, 2020",9485,623,1315,,,262,16,101,,,7547,6.57%,13.86%
"May 5, 2020",9684,637,1408,,,199,14,93,,,7639,6.58%,14.54%
"May 6, 2020",10004,658,1506,,,320,21,98,,,7840,6.58%,15.05%
"May 7, 2020",10343,685,1618,,,339,27,112,,,8040,6.62%,15.64%
"May 8, 2020",10463,696,1734,,,120,11,116,,,8033,6.65%,16.57%
"May 9, 2020",10610,704,1842,,,147,8,108,,,8064,6.64%,17.36%
"May 10, 2020",10794,719,1924,,,184,15,82,,,8151,6.66%,17.82%
"May 11, 2020",11086,726,1999,,,292,7,75,,,8361,6.55%,18.03%
"May 12, 2020",11350,751,2106,,,264,25,107,,,8493,6.62%,18.56%
"May 13, 2020",11618,772,2251,,,268,21,145,,,8595,6.64%,19.38%
"May 14, 2020",11876,790,2337,,,258,18,86,,,8749,6.65%,19.68%
"May 15, 2020",12091,806,2460,,,215,16,123,,,8825,6.67%,20.35%
"May 16, 2020",12305,817,2561,,,214,11,101,,,8927,6.64%,20.81%
"May 17, 2020",12513,824,2635,,,208,7,74,,,9054,6.59%,21.06%
"May 18, 2020",12718,831,2729,,,205,7,94,,,9158,6.53%,21.46%
"May 19, 2020",12942,837,2843,,,224,6,114,,,9262,6.47%,21.97%
"May 20, 2020",13221,842,2932,,,279,5,89,,,9447,6.37%,22.18%
"May 21, 2020",13434,846,3000,,,213,4,68,,,9588,6.30%,22.33%
"May 22, 2020",13597,857,3092,,,163,11,92,,,9648,6.30%,22.74%
"May 23, 2020",13777,863,3177,,,180,6,85,,,9737,6.26%,23.06%
"May 24, 2020",14035,868,3249,,,258,5,72,,,9918,6.18%,23.15%
"May 25, 2020",14319,873,3323,,,284,5,74,,,10123,6.10%,23.21%
"May 26, 2020",14669,886,3412,,,350,13,89,,,10371,6.04%,23.26%
"May 27, 2020",15049,904,3506,,,380,18,94,,,10639,6.01%,23.30%
"May 28, 2020",15588,921,3598,,,539,17,92,,,11069,5.91%,23.08%
"May 29, 2020",16634,942,3720,,,1046,21,122,,,11972,5.66%,22.36%
"May 30, 2020",17224,950,3808,,,590,8,88,,,12466,5.52%,22.11%
"May 31, 2020",18086,957,3909,,,862,7,101,,,13220,5.29%,21.61%
"Jun 1, 2020",18638,960,3979,,,552,3,70,,,13699,5.15%,21.35%
"Jun 2, 2020",18997,966,4153,,,359,6,174,,,13878,5.09%,21.86%
"Jun 3, 2020",19748,974,4153,,,751,8,0,,,14621,4.93%,21.03%
"Jun 4, 2020",,,,,,,,,,,,,
"Jun 5, 2020",,,,,,,,,,,,,
"Jun 6, 2020",,,,,,,,,,,,,
"Jun 7, 2020",,,,,,,,,,,,,
"Jun 8, 2020",,,,,,,,,,,,,
"Jun 9, 2020",,,,,,,,,,,,,
"Jun 10, 2020",,,,,,,,,,,,,
"Jun 11, 2020",,,,,,,,,,,,,
"Jun 12, 2020",,,,,,,,,,,,,
"Jun 13, 2020",,,,,,,,,,,,,
"Jun 14, 2020",,,,,,,,,,,,,
"Jun 15, 2020",,,,,,,,,,,,,
"Jun 16, 2020",,,,,,,,,,,,,
"Jun 17, 2020",,,,,,,,,,,,,
"Jun 18, 2020",,,,,,,,,,,,,
"Jun 19, 2020",,,,,,,,,,,,,
"Jun 20, 2020",,,,,,,,,,,,,
"Jun 21, 2020",,,,,,,,,,,,,
"Jun 22, 2020",,,,,,,,,,,,,
"Jun 23, 2020",,,,,,,,,,,,,
"Jun 24, 2020",,,,,,,,,,,,,
"Jun 25, 2020",,,,,,,,,,,,,
"Jun 26, 2020",,,,,,,,,,,,,
"Jun 27, 2020",,,,,,,,,,,,,
"Jun 28, 2020",,,,,,,,,,,,,
"Jun 29, 2020",,,,,,,,,,,,,
"Jun 30, 2020",,,,,,,,,,,,,
"July 1, 2020",,,,,,,,,,,,,
"July 2, 2020",,,,,,,,,,,,,
"July 3, 2020",,,,,,,,,,,,,
"July 4, 2020",,,,,,,,,,,,,
"Jul 5, 2020",44254,1297,11942,,,2434,7,489,,,31015,,
